lake	sample	date_col	julian	year	bag	bag_leaf	days	cruc_num	cruc_empty	cruc_full	cruc_ash	leaf_mass	leaf_mass_AFDM	ash_mass_AFDM	propOM	AFDM
Lancer Park Pond	43	2013/10/29	302	2013	7.1908	11.6357	0	4	27.4829	29.0485	27.6557	4.4449	1.5656	0.172799999999999	0.889626980071539	3.95430296371998
Lancer Park Pond	58	2013/10/29	302	2013	7.2219	11.4871	0	6	31.512	33.4924	31.6409	4.2652	1.98040000000000	0.128899999999998	0.934912138961827	3.98758725509998
Lancer Park Pond	61	2013/10/29	302	2013	7.2022	11.5523	0	5	30.3767	31.9098	30.4822	4.3501	1.5331	0.105499999999999	0.931185180353533	4.0507486530559
Lancer Park Pond	13	2013/10/31	304	2013	7.2093	10.8257	2	1	29.7349	30.9722	29.7935	3.6164	1.2373	0.058600000000002	0.952638810312776	3.44512299361512
Lancer Park Pond	16	2013/10/31	304	2013	7.2094	10.7481	2	2	26.6491	30.2684	26.836	3.5387	3.6193	0.186899999999998	0.948360180145333	3.35596216948029
Lancer Park Pond	22	2013/10/31	304	2013	7.2104	10.9456	2	2	26.65	28.8318	26.7538	3.7352	2.18180000000000	0.103800000000000	0.952424603538363	3.55749637913649
Lancer Park Pond	38	2013/10/31	304	2013	7.2023	10.4654	2	3	28.0734	29.0174	28.1233	3.2631	0.944	0.0499000000000009	0.947139830508474	3.0906119809322
Lancer Park Pond	62	2013/10/31	304	2013	7.2242	10.7023	2	6	31.5111	32.385	31.554	3.4781	0.873899999999999	0.0428999999999995	0.950909715070375	3.30735907998627
Lancer Park Pond	1	2013/11/08	312	2013	7.0318	10.2502	10	1	29.7384	33.0033	29.8782	3.2184	3.26490000000000	0.139800000000001	0.95718092437747	3.08059108701645
Lancer Park Pond	24	2013/11/08	312	2013	6.9405	10.3343	10	3	28.0727	29.8631	28.1576	3.3938	1.79040	0.0848999999999975	0.952580428954425	3.23286745978553
Lancer Park Pond	40	2013/11/08	312	2013	7.079	10.6374	10	18	29.4351	31.2918	29.5534	3.5584	1.8567	0.118300000000001	0.936284806376904	3.33167585501158
Lancer Park Pond	47	2013/11/08	312	2013	7.039	10.4337	10	23	28.8125	32.0258	28.9883	3.3947	3.2133	0.175799999999999	0.945289888899263	3.20897558584633
Lancer Park Pond	49	2013/11/08	312	2013	7.0876	10.5559	10	12	28.1216	31.6505	28.3491	3.4683	3.5289	0.227499999999999	0.9355323188529	3.24470674147751
Lancer Park Pond	37	2013/11/16	320	2013	7.1756	9.9667	18	4	27.4831	30.4875	27.6576	2.7911	3.0044	0.174499999999998	0.941918519504727	2.62898877978964
Lancer Park Pond	60	2013/11/16	320	2013	7.1115	10.4225	18	11	26.5907	29.8398	26.7908	3.311	3.2491	0.200100000000003	0.93841371456711	3.1070878089317
Lancer Park Pond	64	2013/11/16	320	2013	7.1817	10.58	18	3	28.0743	30.3104	28.224	3.3983	2.2361	0.149699999999999	0.933053083493583	3.17079429363624
Lancer Park Pond	66	2013/11/16	320	2013	7.2093	10.3765	18	19	28.5645	31.7621	28.7306	3.1672	3.1976	0.1661	0.94805479109332	3.00267913435076
Lancer Park Pond	70	2013/11/16	320	2013	7.164	10.7999	18	6	31.5113	34.8647	31.7231	3.6359	3.3534	0.211800000000000	0.936840221864376	3.40625736267669
Lancer Park Pond	4	2013/12/05	339	2013	7.3544	10.9055	37	23	28.8136	32.3487	29.2037	3.5511	3.5351	0.3901	0.889649514865209	3.15923439223784
Lancer Park Pond	5	2013/12/05	339	2013	7.2556	10.9075	37	23	28.8115	30.3628	29.9526	3.6519	1.5513	1.14110000000000	0.264423386836846	0.965647766389478
Lancer Park Pond	39	2013/12/05	339	2013	7.2206	11.1849	37	20	29.1379	32.315	29.4124	3.9643	3.1771	0.274500000000003	0.913600453243523	3.6217862767933
Lancer Park Pond	59	2013/12/05	339	2013	7.2508	10.6595	37	19	28.545	31.3771	28.7597	3.4087	2.83210000000000	0.214699999999997	0.92419052999541	3.15028825959536
Lancer Park Pond	2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	10		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	11		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	12		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	14		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	15		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	17		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	18		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	19		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	20		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	21		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	23		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	25	2013/02/06	37	2014	6.9294	10.1899	100	1	29.7361	32.9873	30.3211	3.2605	3.2512	0.585000000000001	0.820066437007874	2.67382661786417
Lancer Park Pond	26	2013/12/21	355	2013	7.3905	10.6357	53	20	29.1352	31.9552	29.6897	3.2452	2.82	0.554499999999997	0.803368794326242	2.60709241134752
Lancer Park Pond	27	2013/11/21	325	2013	7.5778	10.6186	23	15	26.9874	30.4271	27.621	3.0408	3.4397	0.633599999999998	0.815797889350816	2.48067822193796
Lancer Park Pond	28	2013/02/06	37	2014	6.9888	10.4028	100	8	28.9648	32.4559	29.3502	3.414	3.4911	0.385400000000001	0.889604995560138	3.03711145484231
Lancer Park Pond	29	2014/02/06	37	2014	7.0028	9.5208	100	10	29.7481	32.4137	30.1612	2.518	2.6656	0.4131	0.845025510204081	2.12777423469388
Lancer Park Pond	30	2013/12/21	355	2013	7.341	11.581	53	18	29.4338	33.3362	30.6735	4.24	3.9024	1.2397	0.682323698236982	2.89305248052480
Lancer Park Pond	31	2014/02/22	53	2014	7.0458	10.2021	116	20	29.1731	32.2618	29.5171	3.1563	3.0887	0.343999999999998	0.888626282902193	2.80477113672419
Lancer Park Pond	32	2013/11/21	325	2013	7.4059	12.4527	23	5	30.3788	35.6764	32.321	5.0468	5.2976	1.9422	0.633381153729991	3.19654800664452
Lancer Park Pond	34	2013/02/06	37	2014	6.9703	10.2876	100	15	26.9886	30.3076	27.517	3.3173	3.319	0.528399999999998	0.840795420307322	2.78917064778548
